filename,page_number,doc_id,expected_route,has_table,valid_word_ratio,text_coverage
englishheavyscan03.pdf,1,doc_001,multilingual_ocr,false,0.82,0.75
englishheavyscan03.pdf,2,doc_001,standard_ocr,false,0.85,0.82
englishheavyscan03.pdf,3,doc_001,standard_ocr,false,0.84,0.85
englishheavyscan03.pdf,4,doc_001,standard_ocr,false,0.83,0.80
englishheavyscan03.pdf,5,doc_001,standard_ocr,true,0.81,0.78
englishheavyscan03.pdf,6,doc_001,standard_ocr,false,0.85,0.83
englishheavyscan03.pdf,7,doc_001,standard_ocr,false,0.82,0.70
englishscan2.pdf,1,doc_002,standard_ocr,false,0.88,0.80
englishscan2.pdf,2,doc_002,standard_ocr,false,0.87,0.82
englishscan2.pdf,3,doc_002,vlm_heavy,true,0.84,0.75
englishscan2.pdf,4,doc_002,vlm_heavy,true,0.82,0.78
englishscan2.pdf,5,doc_002,vlm_heavy,true,0.85,0.80
englishscan2.pdf,6,doc_002,vlm_heavy,true,0.83,0.76
englishscan2.pdf,7,doc_002,vlm_heavy,true,0.80,0.72
englishscan4.pdf,1,doc_003,fast_text,false,0.98,0.65
englishscan4.pdf,2,doc_003,fast_text,false,0.99,0.82
englishscan4.pdf,3,doc_003,fast_text,false,0.98,0.85
englishscan4.pdf,4,doc_003,fast_text,false,0.99,0.84
englishscan4.pdf,5,doc_003,fast_text,false,0.98,0.83
englishscan4.pdf,6,doc_003,fast_text,false,0.97,0.82
englishscan4.pdf,7,doc_003,fast_text,false,0.99,0.85
englishscan4.pdf,8,doc_003,fast_text,false,0.98,0.80
englishscan4.pdf,9,doc_003,fast_text,false,0.99,0.81
englishscan4.pdf,10,doc_003,fast_text,false,0.98,0.79
englishscan4.pdf,11,doc_003,fast_text,false,0.97,0.80
englishscan4.pdf,12,doc_003,fast_text,false,0.99,0.75
englishscan4.pdf,13,doc_003,fast_text,false,0.98,0.78
englishscan4.pdf,14,doc_003,vlm_heavy,true,0.96,0.85
englishscan4.pdf,15,doc_003,vlm_heavy,true,0.95,0.82
englishscan4.pdf,16,doc_003,vlm_heavy,true,0.96,0.80
englishscan4.pdf,17,doc_003,vlm_heavy,true,0.95,0.78
englishscan4.pdf,18,doc_003,fast_text,false,0.99,0.82
englishscan4.pdf,19,doc_003,fast_text,false,0.98,0.80
englishscan4.pdf,20,doc_003,fast_text,false,0.97,0.83
englishscan4.pdf,21,doc_003,fast_text,false,0.98,0.81
englishscan4.pdf,22,doc_003,fast_text,false,0.99,0.82
englishscan4.pdf,23,doc_003,fast_text,false,0.98,0.79
