query_id,type,query,label_docs,label_pages,flag,detail,expected_answer,top5,top5_snippet
q_001,direct_factual,What term is used by Knudsen (2020) to describe the conversion of data from analogue to digital format?,doc_006,1,OFF_BY_ONE,"labeled page [1], retrieval hits [2] (adjacent)",Digitisation.,doc_006@p2 | doc_006@p5 | doc_006@p13 | doc_006@p8 | doc_006@p31,"1 Knudsen (2020) distinguishes between digitisation and digitalisation, where digitisation is depicted as the process of converting data from a traditional, analogue format to a digital format whilst "
q_002,direct_factual,In what year did the US SEC establish the XBRL Voluntary Filing Program (VFP)?,doc_006,13,OFF_BY_ONE,"labeled page [13], retrieval hits [14] (adjacent)",2005.,doc_006@p14 | doc_006@p29 | doc_006@p34 | doc_006@p28 | doc_006@p30,"5 The US SEC established the VFP to serve as a test of XBRL's capacity for filing corporate financial information, and  to  help  regulators  understand  the  associated  costs  to  filers  and  the  "
q_003,direct_factual,What markup language was announced by JP Morgan and PricewaterhouseCoopers to exchange information on financial derivatives?,doc_007,41,PAGE_MISS,"labeled pages [41], retrieval pages of labeled docs: [22, 24, 32, 33, 61, 66, 67, 68]",FpML (Financial Products Markup Language).,doc_007@p32 | doc_007@p33 | doc_007@p66 | doc_007@p61 | doc_007@p24,"Use  in  Business  Reporting: XML  is  a  relatively  new  development,  but  one  in  which interest  is  growing  rapidly  in  a  variety  of  areas  where  information  must  be  exchanged between "
q_004,direct_factual,What is the total Capital Expenditure amount proposed in the Assam Budget 2024-25?,doc_005,11,OK,,"33,799 crore.",doc_005@p11 | doc_005@p14 | doc_005@p15 | doc_005@p24 | doc_005@p14,"Here's the text from the image, preserving its layout structure:  ```                                                                                              HIGHLIGHTS OF                        "
q_005,direct_factual,"According to the 15th Finance Commission guidelines, what percentage of the NDRMF is kept for Preparedness and Capacity-building activities?",doc_003,9,OFF_BY_ONE,"labeled page [9], retrieval hits [10] (adjacent)",10 per cent of the annual allocation of SDRMF.,doc_003@p20 | doc_003@p10 | doc_003@p19 | doc_003@p19 | doc_003@p19,"2.4 These guidelines are for the operation and administration of the NDRF for disasters as notified by the Central Government for SDRF and NDRF. However, guidelines in respect of SDMF & NDMF; and for "
q_006,direct_factual,What is the name of the hypothetical example from the Jenkins report that the FASB transformed into an online report?,doc_007,9,PAGE_MISS,"labeled pages [9], retrieval pages of labeled docs: [1, 2, 12, 19, 49, 66, 79]",Faux.Com.,doc_007@p19 | doc_007@p12 | doc_007@p49 | doc_007@p1 | doc_007@p66,The Financial Accounting Standards Board (FASB) in the USA and the Canadian Institute of Chartered Accountants (CICA) are both researching Web-based business reporting. The FASB is undertaking this as
q_007,direct_factual,Who are the authors of the academic paper titled 'Digital corporate reporting: research developments and implications'?,doc_006,1,OK,,Indrit Troshani and Nick Rowbottom.,doc_006@p2 | doc_006@p1 | doc_006@p5 | doc_006@p23 | doc_006@p27,Digital corporate reporting: research developments and implications
q_008,direct_factual,What is the estimated total Non-Tax Revenue in the Assam Budget 2024-25?,doc_005,8,OK,,"8,871 crore.",doc_005@p9 | doc_005@p8 | doc_005@p10 | doc_005@p11 | doc_005@p11,"Here's the extracted text from the image, preserving its layout structure:  HIGHLIGHTS OF BUDGET ASSAM BUDGET 2024-25 2024-25  Budget 2024-25: Snapshot  Figures (₹) in crore  GOODS & SERVICES TAX **29"
q_009,direct_factual,"What is the maximum term of imprisonment under Section 9 of the Public Records Act, 1993 for contraventions?",doc_001,5,DOC_MISS,"labeled docs ['doc_001'], top-10 docs ['doc_002', 'doc_003', 'doc_007']",Imprisonment for a term which may extend to five years.,doc_002@p3 | doc_007@p15 | doc_003@p14 | doc_002@p4 | doc_007@p44,```markdown Form-1 [See sub-rule (2) of rule 5] Particulars of records of permanent nature due for appraisal during the year.....  | Total number of files of 'A' & 'B' categories lying in the records 
q_010,direct_factual,"Under the revised NDRF norms of July 2023, what is the Ex-Gratia payment for grievous injury requiring hospitalization for more than a week?",doc_008,1,PAGE_MISS,"labeled pages [1], retrieval pages of labeled docs: [3, 11]","Rs. 16,000/- per person.",doc_008@p3 | doc_003@p9 | doc_003@p24 | doc_003@p23 | doc_003@p22,| S.No. | Items | Norms of Assistance | | :---- | :---- | :-------------------- | | A     | Response & Relief [40% of State Disaster Risk Management Fund (SDRMF) i.e. equal to 50% of SDRF allocation f
q_011,multi_hop,Does the definition of 'records officer' in the Public Records Act 1993 align with the rank required in the 1997 Rules?,doc_001;doc_002,1;2,OFF_BY_ONE,"labeled page [1, 2], retrieval hits [3] (adjacent)","The 1993 Act defines a records officer generally under Section 2(g), while Rule 3 of the 1997 Rules specifically mandate",doc_002@p3 | doc_007@p65 | doc_007@p55 | doc_003@p5 | doc_002@p4,```markdown Form-1 [See sub-rule (2) of rule 5] Particulars of records of permanent nature due for appraisal during the year.....  | Total number of files of 'A' & 'B' categories lying in the records 
q_012,multi_hop,How does the allocation for response and relief under SDRF compare to the maximum limit allowed for Gratuitous Relief for livelihood?,doc_003;doc_008,1;9,OK,,"Response & Relief receives 40% of the SDRMF. From this 40% window, Gratuitous Relief generally cannot exceed 30%, but sp",doc_008@p3 | doc_003@p10 | doc_008@p5 | doc_008@p13 | doc_008@p10,| S.No. | Items | Norms of Assistance | | :---- | :---- | :-------------------- | | A     | Response & Relief [40% of State Disaster Risk Management Fund (SDRMF) i.e. equal to 50% of SDRF allocation f
q_013,multi_hop,"Which standard-setting bodies were actively researching Web-based business reporting, and what XML initiative was announced by the AICPA?",doc_007,9;42,PAGE_MISS,"labeled pages [9, 42], retrieval pages of labeled docs: [3, 6, 13, 19, 32, 33, 46, 72]",FASB and CICA were researching Web-based business reporting. The AICPA announced the eXtensible Financial Reporting Mark,doc_007@p33 | doc_007@p72 | doc_007@p32 | doc_006@p28 | doc_007@p46,Issues: Successful  migration  of  accounting  information  beyond  the  bounds  of  individual corporate  Web  sites  will  require attribute  recognition -  the  ability  of  both  humans  and softw
q_014,multi_hop,"If a small farmer suffers a 40% crop loss in a rainfed area due to severe drought, what is the input subsidy per hectare and the maximum duration for gratuitous relief?",doc_008,4;6,OK,,"The input subsidy is Rs. 8,500/- per hectare in rainfed areas. For severe drought, the default 30-day period for gratuit",doc_008@p7 | doc_008@p6 | doc_008@p9 | doc_008@p3 | doc_008@p10,"```markdown | | | | |---|---|---| | | b) Perennial crops/Agro forestry (Plantation in own farmland) | Rs. 22,500/- ha. for all types of perennial crops/ Agro forestry (Plantation in own farmland), sub"
q_015,multi_hop,Calculate the increase in the total capital expenditure of Assam between the 2016-17 financial year and the 2022-23 financial year.,doc_005,6,OK,,"Capital expenditure was Rs. 6,001 crore in 2016-17 and Rs. 16,338 crore in 2022-23. The increase is Rs. 10,337 crore.",doc_005@p7 | doc_005@p6 | doc_005@p7 | doc_005@p7 | doc_005@p7,"Here's the text from the image, preserving its layout structure:  HIGHLIGHTS OF BUDGET ASSAM BUDGET 2024-25  Financials  GRANTS FROM CENTRE  Figures (₹) in crore  59479  58476  45863  42427  39333  36"
q_016,multi_hop,What is the relationship between the European Single Electronic Format (ESEF) and the XBRL language?,doc_006,2;6,OK,,"ESMA requires EU-listed firms to file digital reports in the European Single Electronic Format (ESEF), which utilizes In",doc_006@p30 | doc_006@p13 | doc_006@p32 | doc_007@p62 | doc_006@p6,"Dunne, T., Helliar, C., Lymer, A. and Mousa, R. (2013), ""Stakeholder engagement in internet financial reporting: the diffusion of XBRL in the UK"", The British Accounting Review, Vol. 45 No. 3, pp. 167"
q_017,multi_hop,"If the SEC extends Gratuitous Relief for an earthquake beyond 60 days, does this violate the July 2023 NDRF norms?",doc_008,2,OFF_BY_ONE,"labeled page [2], retrieval hits [3] (adjacent)","No. Depending on the ground situation, the SEC can extend the time period beyond the prescribed limits as long as the ex",doc_003@p8 | doc_008@p5 | doc_008@p3 | doc_003@p10 | doc_003@p3,"(vii) The release of installments shall be made by Department of Expenditure, Ministry of Finance, after receiving due recommendations from the Ministry of Home Affairs (DM Division).  State Executive"
